data_extract_time,id_leg1,orig_port_code,dest_port_code,depart_date,depart_time,arrive_time,duration_hrs,duration_min,duration_total_min,stops,id_leg2,stops_loc,stops_time,prices_lowfare_USD,prices_lowfareplus_USD,prices_flex_USD,prices_prem_USD,prices_premflex_USD,prices_lowfare_GBP,prices_lowfareplus_GBP,prices_flex_GBP,prices_prem_GBP,prices_premflex_GBP,prices_lowfare_EUR,prices_lowfareplus_EUR,prices_flex_EUR,prices_prem_EUR,prices_premflex_EUR,prices_lowfare_SEK,prices_lowfareplus_SEK,prices_flex_SEK,prices_prem_SEK,prices_premflex_SEK
19-06-02 12:35:27,DY7002,JFK,CPH,6/8/2019,22:05,18:35 +1,14,30,870,1,DY948,Oslo,6h 0m,997.9,1087.9,1079,1087.9,1169,642.4,692.4,706.4,708.3,772.3,730.05,800.05,802.64,804.78,877.37,7833,8383,8615,8637,9419
19-06-02 12:35:27,DY7002,JFK,CPH,6/8/2019,22:05,19:55 +1,15,50,950,1,D83240,Oslo,7h 20m,997.9,1087.9,1079,1087.9,1169,642.4,692.4,706.4,708.3,772.3,730.05,800.05,802.64,804.78,877.37,7833,8383,8615,8637,9419
19-06-02 12:35:27,DI7016,JFK,CPH,6/8/2019,23:00,21:45 +1,16,45,1005,1,D82910,London,7h 55m,730,820,1066,1210,1286,529.5,579.5,774.6,874.5,934.6,615.84,685.84,948.98,1077.37,1145.42,6616,7166,10201,11583,12315
19-06-02 12:35:27,DY7002,JFK,CPH,6/8/2019,22:05,21:25 +1,17,20,1040,1,D83226,Oslo,8h 50m,997.9,1087.9,1079,1087.9,1169,642.4,692.4,706.4,708.3,772.3,730.05,800.05,802.64,804.78,877.37,7833,8383,8615,8637,9419
19-06-02 12:35:27,DI7014,JFK,CPH,6/8/2019,12:45,12:10 +1,17,25,1045,1,D82906,London,8h 35m,600.8,690.8,914,1080.8,1134,427.4,477.4,654.5,772.4,814.5,500.14,570.14,812.87,961.67,1009.31,5371,5921,8736,10338,10850
19-06-02 12:35:43,DY7012,JFK,CPH,6/9/2019,22:05,11:40 +1,7,35,455,0,,,,469.9,559.9,764.9,,1094.9,375.6,425.6,621,,902.1,425.52,495.52,703.65,,1022.24,4579,5129,7572,,11001
19-06-02 12:35:43,DY7002,JFK,CPH,6/9/2019,23:30,15:00 +1,9,30,570,1,DY940,Oslo,1h 0m,,,,1121.3,1169,,,,734.7,772.3,,,,834.67,877.37,,,,8959,9419
19-06-02 12:35:43,DI7016,JFK,CPH,6/9/2019,23:00,16:25 +1,11,25,685,1,D82906,London,2h 35m,599.6,689.6,1066,764.6,1286,435.5,485.5,774.6,550.5,934.6,507.16,577.16,948.98,658.12,1145.42,5446,5996,10201,7071,12315
19-06-02 12:35:43,DY7006,JFK,CPH,6/9/2019,21:55,15:25 +1,11,30,690,1,DY4161,Stockholm,2h 40m,1047.2,1137.2,1124.6,,,657.8,707.8,719,,,749.09,819.09,818.38,,,7551,8101,8241,,
19-06-02 12:35:43,DY7002,JFK,CPH,6/9/2019,23:30,17:05 +1,11,35,695,1,D83226,Oslo,3h 5m,,,,1087.9,1169,,,,708.3,772.3,,,,804.78,877.37,,,,8637,9419
19-06-02 12:35:43,DI7018,JFK,CPH,6/9/2019,22:10,16:25 +1,12,15,735,1,D82906,London,3h 25m,559.6,649.6,1066,764.6,1286,405.5,455.5,774.6,550.5,934.6,472.25,542.25,948.98,658.12,1145.42,5070,5620,10201,7071,12315
19-06-02 12:35:43,DY7002,JFK,CPH,6/9/2019,23:30,18:35 +1,13,5,785,1,DY948,Oslo,4h 35m,,,,1093.9,1169,,,,713,772.3,,,,810.11,877.37,,,,8695,9419
19-06-02 12:35:43,DI7016,JFK,CPH,6/9/2019,23:00,18:15 +1,13,15,795,1,D82908,London,4h 25m,630,720,1066,795,1286,459.5,509.5,774.6,574.5,934.6,534.39,604.39,948.98,685.35,1145.42,5739,6289,10201,7364,12315
19-06-02 12:35:43,DY7704,JFK,CPH,6/9/2019,23:55,19:40 +1,13,45,825,1,D86112,Madrid,3h 25m,748.9,838.9,1178.9,988.9,1208.9,592.3,642.3,937.6,764.6,961.7,642.83,712.83,1012.83,842.83,1062.83,7219,7769,11430,9321,11724
19-06-02 12:35:43,DI7018,JFK,CPH,6/9/2019,22:10,18:15 +1,14,5,845,1,D82908,London,5h 15m,590,680,1066,795,1286,429.5,479.5,774.6,574.5,934.6,499.48,569.48,948.98,685.35,1145.42,5363,5913,10201,7364,12315
19-06-02 12:35:59,DI7018,JFK,CPH,6/10/2019,22:00,14:20 +1,10,20,620,1,D82906,London,1h 30m,398,488,914,643,1134,279.4,329.4,654.5,454.4,814.5,328.45,398.45,812.87,549.23,1009.31,3523,4073,8736,5899,10850
19-06-02 12:35:59,DY7006,JFK,CPH,6/10/2019,21:55,15:25 +1,11,30,690,1,DY4161,Stockholm,2h 40m,976.6,1066.6,1042.2,,,602.1,652.1,653.9,,,685.89,755.89,744.61,,,6921,7471,7521,,
19-06-02 12:35:59,DY7006,JFK,CPH,6/10/2019,21:55,16:40 +1,12,45,765,1,D83209,Stockholm,3h 55m,976.6,1066.6,1042.2,,,602.1,652.1,653.9,,,685.89,755.89,744.61,,,6921,7471,7521,,
19-06-02 12:35:59,DI7016,JFK,CPH,6/10/2019,23:00,18:15 +1,13,15,795,1,D82908,London,4h 25m,398,488,914,643,1134,279.4,329.4,654.5,454.4,814.5,328.45,398.45,812.87,549.23,1009.31,3523,4073,8736,5899,10850
19-06-02 12:35:59,DY7700,JFK,CPH,6/10/2019,0:05,19:55,13,50,830,1,D83541,Amsterdam,5h 30m,804.6,894.6,1141.4,1214.6,1351.4,638.3,688.3,906.5,966.6,1074.7,681.85,751.85,974.35,1031.85,1154.35,7781,8331,11052,11785,13103
19-06-02 12:35:59,DI7018,JFK,CPH,6/10/2019,22:00,18:15 +1,14,15,855,1,D82908,London,5h 25m,398,488,914,643,1134,279.4,329.4,654.5,454.4,814.5,328.45,398.45,812.87,549.23,1009.31,3523,4073,8736,5899,10850
19-06-02 12:35:59,DY7006,JFK,CPH,6/10/2019,21:55,18:25 +1,14,30,870,1,D8230,Stockholm,5h 40m,1023.7,1113.7,1124.6,,,639.3,689.3,719,,,728.06,798.06,818.38,,,7341,7891,8241,,
19-06-02 12:35:59,DI7914,JFK,CPH,6/10/2019,11:25,09:20 +1,15,55,955,1,D82900,This route has an overnight stop. Departure London 06:30,This route has an overnight stop. Departure London 06:30,478,568,914,1268,1344,339.4,389.4,654.5,904.4,964.5,398.27,468.27,812.87,1128.72,1196.78,4274,4824,8736,12135,12867
19-06-02 12:35:59,DY7006,JFK,CPH,6/10/2019,21:55,20:00 +1,16,5,965,1,D83213,Stockholm,7h 15m,1036,1126,1124.6,,,649,699,719,,,739.06,809.06,818.38,,,7451,8001,8241,,
19-06-02 12:36:15,DY7012,JFK,CPH,6/11/2019,23:30,13:05 +1,7,35,455,0,,,,379.9,469.9,764.9,,1094.9,301.9,351.9,621,,902.1,342.08,412.08,703.65,,1022.24,3681,4231,7572,,11001
19-06-02 12:36:15,DY7002,JFK,CPH,6/11/2019,22:05,13:40 +1,9,35,575,1,D83224,Oslo,1h 5m,737.9,827.9,939,1087.9,1169,472.8,522.8,612.2,708.3,772.3,537.88,607.88,695.88,804.78,877.37,5765,6315,7466,8637,9419
19-06-02 12:36:15,DI7018,JFK,CPH,6/11/2019,22:10,14:20 +1,10,10,610,1,D82906,London,1h 20m,438,528,914,1058,1134,309.4,359.4,654.5,754.4,814.5,363.36,433.36,812.87,941.25,1009.31,3898,4448,8736,10118,10850
19-06-02 12:36:15,DY7002,JFK,CPH,6/11/2019,22:05,15:00 +1,10,55,655,1,DY940,Oslo,2h 25m,737.9,827.9,939,1087.9,1169,472.8,522.8,612.2,708.3,772.3,537.88,607.88,695.88,804.78,877.37,5765,6315,7466,8637,9419
19-06-02 12:36:15,DY7002,JFK,CPH,6/11/2019,22:05,17:05 +1,13,0,780,1,D83226,Oslo,4h 30m,737.9,827.9,939,1087.9,1169,472.8,522.8,612.2,708.3,772.3,537.88,607.88,695.88,804.78,877.37,5765,6315,7466,8637,9419
19-06-02 12:36:15,DI7016,JFK,CPH,6/11/2019,23:00,18:15 +1,13,15,795,1,D82908,London,4h 25m,438,528,914,643,1134,309.4,359.4,654.5,454.4,814.5,363.36,433.36,812.87,549.23,1009.31,3898,4448,8736,5899,10850
19-06-02 12:36:15,DY7704,JFK,CPH,6/11/2019,23:55,19:20 +1,13,25,805,1,D86112,Madrid,3h 5m,718.4,808.4,1178.9,958.4,1208.9,568.2,618.2,937.6,740.5,961.7,615.5,685.5,1012.83,815.5,1062.83,6925,7475,11430,9027,11724
19-06-02 12:36:15,DY7700,JFK,CPH,6/11/2019,0:05,19:55,13,50,830,1,D83541,Amsterdam,5h 30m,624.2,714.2,1051.4,954.2,1121.4,494.1,544.1,834.5,758.4,890.5,524.63,594.63,894.35,804.63,954.35,6022,6572,10173,9246,10857
19-06-02 12:36:15,DI7018,JFK,CPH,6/11/2019,22:10,18:15 +1,14,5,845,1,D82908,London,5h 15m,438,528,914,1058,1134,309.4,359.4,654.5,754.4,814.5,363.36,433.36,812.87,941.25,1009.31,3898,4448,8736,10118,10850
19-06-02 12:36:15,DY7002,JFK,CPH,6/11/2019,22:05,18:35 +1,14,30,870,1,DY948,Oslo,6h 0m,777.3,867.3,939,1127.3,1169,503.9,553.9,612.2,739.4,772.3,573.11,643.11,695.88,840.01,877.37,6145,6695,7466,9017,9419
19-06-02 12:36:33,DY7012,JFK,CPH,6/12/2019,23:30,13:05 +1,7,35,455,0,,,,379.9,469.9,764.9,,994.9,301.9,351.9,621,,779.4,342.08,412.08,703.65,,883.17,3681,4231,7572,,9504
19-06-02 12:36:33,DI7016,JFK,CPH,6/12/2019,23:00,16:25 +1,11,25,685,1,D82906,London,2h 35m,778,868,984,1058,1134,549.4,599.4,704.5,754.4,814.5,642.62,712.62,875.33,941.25,1009.31,6904,7454,9408,10118,10850
19-06-02 12:36:33,DI7016,JFK,CPH,6/12/2019,23:00,18:15 +1,13,15,795,1,D82908,London,4h 25m,778,868,984,1058,1134,549.4,599.4,704.5,754.4,814.5,642.62,712.62,875.33,941.25,1009.31,6904,7454,9408,10118,10850
19-06-02 12:36:33,DY7704,JFK,CPH,6/12/2019,23:55,19:40 +1,13,45,825,1,D86112,Madrid,3h 25m,413.3,503.3,1178.9,653.3,1208.9,327.1,377.1,937.6,499.4,961.7,342.3,412.3,1012.83,542.3,1062.83,3985,4535,11430,6087,11724
19-06-02 12:36:33,DY7700,JFK,CPH,6/12/2019,0:05,19:55,13,50,830,1,D83541,Amsterdam,5h 30m,578.6,668.6,1051.4,908.6,1121.4,458,508,834.5,722.3,890.5,483.79,553.79,894.35,763.79,954.35,5582,6132,10173,8806,10857
19-06-02 12:36:50,DY7006,JFK,CPH,6/13/2019,23:30,15:25 +1,9,55,595,1,DY4161,Stockholm,1h 5m,966,1056,1054.6,,,605.8,655.8,675.8,,,690.06,760.06,769.38,,,6951,7501,7741,,
19-06-02 12:36:50,DI7018,JFK,CPH,6/13/2019,22:10,14:20 +1,10,10,610,1,D82906,London,1h 20m,584.4,674.4,1066,1164.4,1286,423.5,473.5,774.6,838.5,934.6,493.55,563.55,948.98,1036.53,1145.42,5299,5849,10201,11143,12315
19-06-02 12:36:50,DY7002,JFK,CPH,6/13/2019,22:05,15:00 +1,10,55,655,1,DY940,Oslo,2h 25m,839.2,929.2,939,1139.2,1169,541.6,591.6,612.2,748.8,772.3,615.81,685.81,695.88,850.68,877.37,6604,7154,7466,9131,9419
19-06-02 12:36:50,DY7006,JFK,CPH,6/13/2019,23:30,16:40 +1,11,10,670,1,D83209,Stockholm,2h 20m,977.2,1067.2,1054.6,,,614.6,664.6,675.8,,,700.09,770.09,769.38,,,7051,7601,7741,,
19-06-02 12:36:50,DY7006,JFK,CPH,6/13/2019,23:30,18:25 +1,12,55,775,1,D8230,Stockholm,4h 5m,999.6,1089.6,1054.6,,,632.4,682.4,675.8,,,720.17,790.17,769.38,,,7251,7801,7741,,
19-06-02 12:36:50,DY7002,JFK,CPH,6/13/2019,22:05,17:05 +1,13,0,780,1,D83226,Oslo,4h 30m,886.9,976.9,1004.5,1186.9,1234.5,579.3,629.3,664.1,786.5,824.2,658.52,728.52,754.6,893.39,936.09,7064,7614,8098,9591,10051
